         2304479 function calls (2304133 primitive calls) in 37.188 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       38    0.000    0.000    0.000    0.000 /home/simuladordefarm3/Documentos/PersonalProyects/WhatsAppMetrics/venv/lib/python3.12/site-packages/pandas/core/internals/blocks.py:2674(get_block_type)
      148    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:164(__len__)
       11    0.000    0.000    0.000    0.000 {built-in method builtins.print}
       38    0.000    0.000    0.001    0.000 /home/simuladordefarm3/Documentos/PersonalProyects/WhatsAppMetrics/venv/lib/python3.12/site-packages/pandas/core/dtypes/common.py:137(is_object_dtype)
       38    0.000    0.000    0.000    0.000 /home/simuladordefarm3/Documentos/PersonalProyects/WhatsAppMetrics/venv/lib/python3.12/site-packages/pandas/core/internals/managers.py:1772(_consolidate_check)
      123    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:176(append)
       38    0.000    0.000    0.000    0.000 /home/simuladordefarm3/Documentos/PersonalProyects/WhatsAppMetrics/venv/lib/python3.12/site-packages/pandas/core/dtypes/cast.py:1579(construct_1d_object_array_from_listlike)
        6    0.000    0.000    0.019    0.003 /usr/lib/python3.12/re/_compiler.py:573(_code)
       76    0.000    0.000    0.000    0.000 /home/simuladordefarm3/Documentos/PersonalProyects/WhatsAppMetrics/venv/lib/python3.12/site-packages/pandas/core/construction.py:758(_maybe_repeat)
       38    0.000    0.000    0.000    0.000 /home/simuladordefarm3/Documentos/PersonalProyects/WhatsAppMetrics/venv/lib/python3.12/site-packages/pandas/core/internals/construction.py:585(_ensure_2d)
      691    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       40    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_compiler.py:398(_simple)
       62    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:113(__init__)
       12    0.000    0.000    0.000    0.000 /usr/lib/python3.12/enum.py:1562(__and__)
      152    0.000    0.000    0.000    0.000 /usr/lib/python3.12/typing.py:2182(cast)
        6    0.000    0.000    0.042    0.007 /usr/lib/python3.12/re/_parser.py:969(parse)
      624    0.000    0.000    0.000    0.000 <frozen posixpath>:52(normcase)
       38    0.000    0.000    0.000    0.000 /home/simuladordefarm3/Documentos/PersonalProyects/WhatsAppMetrics/venv/lib/python3.12/site-packages/pandas/core/indexes/base.py:1686(name)
       38    0.000    0.000    0.000    0.000 /home/simuladordefarm3/Documentos/PersonalProyects/WhatsAppMetrics/venv/lib/python3.12/site-packages/pandas/core/internals/managers.py:1764(is_consolidated)
       38    0.000    0.000    0.000    0.000 /home/simuladordefarm3/Documentos/PersonalProyects/WhatsAppMetrics/venv/lib/python3.12/site-packages/pandas/_config/config.py:676(_translate_key)
       38    0.000    0.000    0.000    0.000 /home/simuladordefarm3/Documentos/PersonalProyects/WhatsAppMetrics/venv/lib/python3.12/site-packages/pandas/core/dtypes/common.py:131(<lambda>)
        6    0.000    0.000    0.061    0.010 /usr/lib/python3.12/re/_compiler.py:740(compile)
       38    0.000    0.000    0.000    0.000 /home/simuladordefarm3/Documentos/PersonalProyects/WhatsAppMetrics/venv/lib/python3.12/site-packages/pandas/core/internals/construction.py:405(_check_values_indices_shape_match)
       38    0.000    0.000    0.000    0.000 /home/simuladordefarm3/Documentos/PersonalProyects/WhatsAppMetrics/venv/lib/python3.12/site-packages/pandas/core/internals/managers.py:1782(_consolidate_inplace)
       38    0.000    0.000    0.000    0.000 /home/simuladordefarm3/Documentos/PersonalProyects/WhatsAppMetrics/venv/lib/python3.12/site-packages/pandas/_config/config.py:649(_get_deprecated_option)
       38    0.000    0.000    0.000    0.000 /home/simuladordefarm3/Documentos/PersonalProyects/WhatsAppMetrics/venv/lib/python3.12/site-packages/pandas/_config/__init__.py:34(using_copy_on_write)
       38    0.000    0.000    0.000    0.000 /home/simuladordefarm3/Documentos/PersonalProyects/WhatsAppMetrics/venv/lib/python3.12/site-packages/pandas/_config/config.py:617(_select_options)
       66    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:293(tell)
       76    0.000    0.000    0.000    0.000 /home/simuladordefarm3/Documentos/PersonalProyects/WhatsAppMetrics/venv/lib/python3.12/site-packages/pandas/core/dtypes/common.py:1270(is_1d_only_ea_dtype)
       76    0.000    0.000    0.000    0.000 /home/simuladordefarm3/Documentos/PersonalProyects/WhatsAppMetrics/venv/lib/python3.12/site-packages/pandas/core/indexes/base.py:831(_reset_identity)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_compiler.py:467(_get_charset_prefix)
      7/6    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_compiler.py:436(_get_literal_prefix)
       38    0.000    0.000    0.000    0.000 {built-in method numpy.arange}
       12    0.000    0.000    0.000    0.000 /usr/lib/python3.12/enum.py:1129(__new__)
       12    0.000    0.000    0.000    0.000 /usr/lib/python3.12/enum.py:726(__call__)
       38    0.000    0.000    0.000    0.000 /home/simuladordefarm3/Documentos/PersonalProyects/WhatsAppMetrics/venv/lib/python3.12/site-packages/pandas/core/flags.py:51(__init__)
       36    0.000    0.000    0.000    0.000 /usr/lib/python3.12/enum.py:1544(_get_value)
